Gender,Body Area,Diagram View,Region,Region Order,Concern,Concern Order,Slug
male,body,front,Chest,3,Excess Fat,3,excess-fat
male,body,front,Chest,3,Acne,4,acne
male,body,front,Chest,3,Hyperpigmentation,5,hyperpigmentation
male,body,front,Chest,3,Breast Enhancement,10,breast-enhancement
male,body,front,Flanks,4,Excess Fat,1,excess-fat
male,body,front,Flanks,4,Rib Contouring,10,rib-contouring
male,body,front,Flanks,4,Waist Shaping,11,waist-shaping
male,body,front,Flanks,4,Contouring,12,contouring
male,body,front,Hands,5,Hyperpigmentation,1,hyperpigmentation
male,body,front,Hands,5,Veins,2,veins
male,body,front,Hands,5,Dry Skin,10,dry-skin
male,body,front,Hands,5,Fine Lines,11,fine-lines
male,body,front,Thighs,6,Excess Fat,1,excess-fat
male,body,front,Thighs,6,Loose Skin,2,loose-skin
male,body,front,Thighs,6,Muscle Sculpting,3,muscle-sculpting
male,body,front,Lower Legs,7,Veins,1,veins
male,body,front,Lower Legs,7,Broken Blood Vessels,2,broken-blood-vessels
male,body,front,Lower Legs,7,Muscle Sculpting,3,muscle-sculpting
male,body,front,Intimate,8,Intimate Enhancement,1,intimate-enhancement
male,body,front,Intimate,8,Contouring,2,contouring
male,body,back,Back,9,Excess Fat,1,excess-fat
male,body,back,Back,9,Loose Skin,2,loose-skin
male,body,back,Back,9,Keloid Scars,3,keloid-scars
male,body,back,Back,9,Acne,4,acne
male,body,back,Back,9,Hyperpigmentation,5,hyperpigmentation
male,body,back,Buttocks,10,Excess Fat,1,excess-fat
male,body,back,Buttocks,10,Loose Skin,2,loose-skin
male,body,back,Buttocks,10,Butt Augmentation,3,butt-augmentation
male,body,back,Buttocks,10,Contouring,4,contouring
male,face,face,Upper Face,1,Wrinkles,1,wrinkles
male,face,face,Upper Face,1,Crow's Feet,2,crows-feet
male,face,face,Upper Face,1,Frown Lines,3,frown-lines
male,face,face,Upper Face,1,Fine Lines,4,fine-lines
male,face,face,Upper Face,1,Acne,5,acne
male,face,face,Upper Face,1,Acne Scarring,6,acne-scarring
male,face,face,Upper Face,1,Hyperpigmentation,7,hyperpigmentation
male,face,face,Midface,2,Loss of Facial Volume,1,loss-of-facial-volume
male,face,face,Midface,2,Nasolabial Folds,2,nasolabial-folds
male,face,face,Midface,2,Acne,3,acne
male,face,face,Midface,2,Acne Scarring,4,acne-scarring
male,face,face,Midface,2,Skin Discoloration,5,skin-discoloration
male,face,face,Midface,2,Broken Blood Vessels,6,broken-blood-vessels
male,face,face,Midface,2,Uneven Skin Texture,7,uneven-skin-texture
male,face,face,Midface,2,Facial Asymmetry,8,facial-asymmetry
male,face,face,Midface,2,Hooded Eyelids,20,hooded-eyelids
male,face,face,Midface,2,Puffy Eyes,21,puffy-eyes
male,face,face,Midface,2,Eye Bags,22,eye-bags
male,face,face,Midface,2,Wrinkles,23,wrinkles
male,face,face,Midface,2,Rhinoplasty,24,rhinoplasty
male,face,face,Midface,2,Septoplasty,25,septoplasty
male,face,face,Lower Face,3,Jowls,1,jowls
male,face,face,Lower Face,3,Double Chin,2,double-chin
male,face,face,Lower Face,3,Loose Skin,3,loose-skin
male,face,face,Lower Face,3,Wrinkles,4,wrinkles
male,face,face,Lower Face,3,Acne,5,acne
male,face,face,Lower Face,3,Acne Scarring,6,acne-scarring
male,face,face,Lower Face,3,Hyperpigmentation,7,hyperpigmentation
male,face,face,Lower Face,3,Broken Blood Vessels,8,broken-blood-vessels
male,face,face,Lower Face,3,Chin Implant,10,chin-implant
male,face,face,Neck,4,Platysmal Bands,1,platysmal-bands
male,face,face,Neck,4,Loose Skin,2,loose-skin
male,face,face,Neck,4,Double Chin,3,double-chin
male,face,face,Neck,4,Wrinkles,4,wrinkles
male,face,face,Lips,5,Lip Enhancement,1,lip-enhancement
male,face,face,Lips,5,Thin Lips,2,thin-lips
male,face,face,Lips,5,Fine Lines,3,fine-lines
